rollout/ep_rew_mean,train/value_loss,train/approx_kl,train/std,time/fps,train/n_updates,train/entropy_loss,time/total_timesteps,train/clip_range,train/loss,time/time_elapsed,time/iterations,rollout/ep_len_mean,train/learning_rate,train/explained_variance,train/policy_gradient_loss,train/clip_fraction
-15.691678400000004,0.31809133137576284,0.021066232,0.13468630611896515,2885,90,3.5139331206679345,20480,0.2,0.25500771403312683,7,10,1000.0,3e-05,0.1551714539527893,-0.04310535724216606,0.237890625
86.60208070000002,7.42737557142973,0.026355874,0.13434584438800812,2814,190,3.5285601764917374,40960,0.2,8.045536994934082,14,20,1000.0,3e-05,0.6742345690727234,-0.04072708598250756,0.243310546875
123.35347760655738,4.958085399866104,0.038114104,0.1341128796339035,2746,290,3.5391732662916184,61440,0.2,5.510616779327393,22,30,1000.0,3e-05,0.8845688104629517,-0.03797794908314245,0.276953125
188.7324387654321,14.505002926290036,0.03627926,0.13364559412002563,2725,390,3.559517742693424,81920,0.2,14.107660293579102,30,40,1000.0,3e-05,0.8147245049476624,-0.03286693024274427,0.33203125
260.29634336,18.953860300779343,0.039454743,0.1328902393579483,2715,490,3.593784321844578,102400,0.2,15.014175415039062,37,50,1000.0,3e-05,0.8089262247085571,-0.03724783309735358,0.380029296875
393.20325282000005,14.041808694601059,0.054711252,0.1323227733373642,2717,590,3.6211740255355833,122880,0.2,13.459671020507812,45,60,1000.0,3e-05,0.7748661041259766,-0.03254369988571852,0.43271484375
515.2478120399999,19.374659645557404,0.050692946,0.13154207170009613,2720,690,3.6563978135585784,143360,0.2,18.74338150024414,52,70,1000.0,3e-05,0.679653525352478,-0.041113240766571836,0.40185546875
648.4728252199999,16.91898971199989,0.05637495,0.13073526322841644,2706,790,3.6895767569541933,163840,0.2,16.072925567626953,60,80,1000.0,3e-05,0.7188178300857544,-0.036454854925978,0.4294921875
768.9427983299997,17.717691254615783,0.06286464,0.1305191069841385,2709,890,3.702487882971764,184320,0.2,21.170272827148438,68,90,1000.0,3e-05,0.7653687000274658,-0.03479880269878777,0.47431640625
872.9913486700002,18.252665802836418,0.057589825,0.12987950444221497,2713,990,3.729718478024006,204800,0.2,13.554824829101562,75,100,1000.0,3e-05,0.6521706581115723,-0.03338252773683052,0.48125
979.7683862300004,20.88825689852238,0.061035074,0.12935668230056763,2708,1090,3.757555937767029,225280,0.2,22.799463272094727,83,110,1000.0,3e-05,0.7514223456382751,-0.035916270325833465,0.48515625
1077.3817833599999,40.52316604852676,0.051858455,0.1289711743593216,2708,1190,3.7759289279580117,245760,0.2,34.88740921020508,90,120,1000.0,3e-05,0.9149968028068542,-0.024726122642459814,0.430859375
1185.3494684300003,26.570318466424943,0.056330085,0.12791191041469574,2705,1290,3.8210810288786887,266240,0.2,17.22162437438965,98,130,1000.0,3e-05,0.8266823291778564,-0.0322432337095961,0.477294921875
1286.16474666,23.960874491930007,0.0573679,0.1273462325334549,2705,1390,3.8501822292804717,286720,0.2,20.574867248535156,105,140,1000.0,3e-05,0.7763657569885254,-0.03591293510107789,0.46533203125
1380.4805621100002,35.186086893081665,0.072140925,0.12699933350086212,2708,1490,3.8668183594942094,307200,0.2,32.177520751953125,113,150,1000.0,3e-05,0.74277663230896,-0.03586870305007324,0.444189453125
1460.4935657099998,33.03752256035805,0.07169847,0.12626226246356964,2703,1590,3.903721071779728,327680,0.2,24.03618812561035,121,160,1000.0,3e-05,0.7622382044792175,-0.027421268544276244,0.49013671875
1526.6020586000002,29.234032160043718,0.06654502,0.1258881837129593,2703,1690,3.9202079102396965,348160,0.2,34.95198059082031,128,170,1000.0,3e-05,0.7588016986846924,-0.023821253939240707,0.490576171875
1576.3886043300001,34.40693387389183,0.061550334,0.12559528648853302,2704,1790,3.936587008833885,368640,0.2,29.127403259277344,136,180,1000.0,3e-05,0.7150505781173706,-0.0329862065060297,0.470068359375
1629.12774488,37.56015013456344,0.06172348,0.12544773519039154,2703,1890,3.9429037675261496,389120,0.2,39.80029296875,143,190,1000.0,3e-05,0.7586650848388672,-0.028027108321839477,0.459619140625
1679.9984905900003,32.98966351747513,0.076936156,0.12545955181121826,2700,1990,3.9431464850902556,409600,0.2,43.176719665527344,151,200,1000.0,3e-05,0.779090940952301,-0.026207754432107322,0.504052734375
1743.3551030100007,38.323570078611375,0.05442571,0.1251298487186432,2699,2090,3.956606736779213,430080,0.2,29.127317428588867,159,210,1000.0,3e-05,0.7939668893814087,-0.03193660452670884,0.46943359375
1798.1479826799998,29.304892349243165,0.06871316,0.1246761903166771,2701,2190,3.9777921065688133,450560,0.2,27.524816513061523,166,220,1000.0,3e-05,0.7451043128967285,-0.027794171587447635,0.49912109375
1862.05397487,37.35648577809334,0.06456679,0.12410613894462585,2703,2290,4.0076928928494455,471040,0.2,31.933990478515625,174,230,1000.0,3e-05,0.7927374839782715,-0.03251011907414068,0.474951171875
1912.4754279900005,34.28539219498634,0.082271054,0.12360748648643494,2699,2390,4.031402777135372,491520,0.2,31.007253646850586,182,240,1000.0,3e-05,0.7939085960388184,-0.02404396326019196,0.50732421875
1965.2109830099998,38.60213058590889,0.06416914,0.12354511767625809,2696,2490,4.037443433701992,512000,0.2,28.483747482299805,189,250,1000.0,3e-05,0.754305362701416,-0.027457816671812907,0.4982421875
1996.0420894099998,39.60265601873398,0.07242653,0.12310831993818283,2695,2590,4.054004418849945,532480,0.2,37.52165222167969,197,260,1000.0,3e-05,0.7683703899383545,-0.02990078179864213,0.507373046875
2027.23872021,32.96185238361359,0.09480204,0.12253256887197495,2696,2690,4.081500242650509,552960,0.2,24.313594818115234,205,270,1000.0,3e-05,0.7319717407226562,-0.026683509245049208,0.529541015625
2050.9125078200004,34.60414222478867,0.06629178,0.12227968126535416,2694,2790,4.096362292766571,573440,0.2,29.416927337646484,212,280,1000.0,3e-05,0.8275293111801147,-0.02936791318352334,0.48525390625
2068.68483201,38.25133762359619,0.061577834,0.12223773449659348,2692,2890,4.09727538973093,593920,0.2,27.351198196411133,220,290,1000.0,3e-05,0.782569408416748,-0.02361542736980482,0.4869140625
2089.34220184,33.29113572835922,0.069680154,0.12206125259399414,2690,2990,4.107017108798027,614400,0.2,28.696399688720703,228,300,1000.0,3e-05,0.7456946969032288,-0.028308778676728253,0.508056640625
2118.7256977,40.10241317152977,0.06337124,0.121470607817173,2691,3090,4.1368457019329075,634880,0.2,49.6342887878418,235,310,1000.0,3e-05,0.8193444609642029,-0.029437679133843632,0.476708984375
2159.83979523,31.92342504262924,0.062473953,0.1211816594004631,2689,3190,4.152341851592064,655360,0.2,45.043701171875,243,320,1000.0,3e-05,0.8101319074630737,-0.020185852533904834,0.51953125
2191.3606697200003,36.83908534049988,0.07387573,0.12054701894521713,2688,3290,4.181224480271339,675840,0.2,35.7375373840332,251,330,1000.0,3e-05,0.8213595151901245,-0.022610006949980742,0.483154296875
2209.35571268,41.304349321126935,0.06801854,0.12047620862722397,2688,3390,4.187675948441028,696320,0.2,42.028873443603516,259,340,1000.0,3e-05,0.8655611276626587,-0.026907369373657276,0.486083984375
2223.56481826,39.29074226021767,0.06375584,0.12032425403594971,2689,3490,4.195114533603191,716800,0.2,29.843303680419922,266,350,1000.0,3e-05,0.8548195958137512,-0.03103938289277721,0.49072265625
2242.7820495600004,54.17226222157478,0.05443686,0.11980197578668594,2691,3590,4.220078121125698,737280,0.2,44.60626220703125,273,360,1000.0,3e-05,0.8161093592643738,-0.030974648127448746,0.45751953125
2260.62848488,29.35727773308754,0.0801373,0.11960399895906448,2691,3690,4.233613501489162,757760,0.2,17.990625381469727,281,370,1000.0,3e-05,0.8067209124565125,-0.02511294287687633,0.52890625
2286.3350863199994,48.26044089794159,0.061820354,0.11964494735002518,2689,3790,4.228278566896916,778240,0.2,50.27064514160156,289,380,1000.0,3e-05,0.8173366189002991,-0.02954950446728617,0.4849609375
2340.23232813,51.654582905769345,0.07341461,0.11920735985040665,2688,3890,4.248914051055908,798720,0.2,40.966705322265625,297,390,1000.0,3e-05,0.7885448336601257,-0.02939744160103146,0.472216796875
2386.78761297,60.73577874302864,0.05919281,0.11865393072366714,2688,3990,4.277635465562343,819200,0.2,64.98778533935547,304,400,1000.0,3e-05,0.8519027233123779,-0.03171345402370207,0.45126953125
2414.70303979,49.11859259605408,0.06514418,0.11849234253168106,2688,4090,4.288282866775989,839680,0.2,43.665042877197266,312,410,1000.0,3e-05,0.8280678987503052,-0.02048114668868948,0.5146484375
2439.12726363,50.4017110824585,0.05157159,0.11820656061172485,2689,4190,4.300330144166947,860160,0.2,46.85222244262695,319,420,1000.0,3e-05,0.8656911253929138,-0.024923907112679444,0.45205078125
2479.39306635,51.79485476613045,0.057664935,0.11796361207962036,2690,4290,4.3162553071975704,880640,0.2,32.109130859375,327,430,1000.0,3e-05,0.8524284362792969,-0.03550823203404434,0.473974609375
2515.70361512,46.50946610569954,0.07081731,0.11792438477277756,2692,4390,4.317023184895516,901120,0.2,45.48922348022461,334,440,1000.0,3e-05,0.8357490301132202,-0.024503461719723417,0.482373046875
2554.97452734,29.992776030302046,1.0647444,0.11777038127183914,2692,4490,4.3270155295729635,921600,0.2,27.092426300048828,342,450,1000.0,3e-05,0.8188503980636597,0.018742690232465976,0.584912109375
2546.72567769,55.47815454006195,0.06039774,0.11768996715545654,2692,4590,4.329876871407032,942080,0.2,34.327022552490234,349,460,1000.0,3e-05,0.8706375360488892,-0.028852866700617597,0.48935546875
2582.76508131,34.0678175508976,1.6174616,0.11772599816322327,2693,4690,4.327808785438537,962560,0.2,36.05936050415039,357,470,1000.0,3e-05,0.8723344802856445,0.03684155695591471,0.624365234375
2591.28333398,52.1754678606987,0.07258685,0.11737830191850662,2693,4790,4.343575324118137,983040,0.2,45.7151985168457,365,480,1000.0,3e-05,0.8334882855415344,-0.025193908557412215,0.484765625
2614.5913929499998,44.623659384250644,0.05857034,0.11722052842378616,2692,4890,4.354607000946999,1003520,0.2,37.71531677246094,372,490,1000.0,3e-05,0.8958563208580017,-0.030925616281456313,0.478662109375
2663.38844839,63.105931878089905,0.040789794,0.11703595519065857,2691,4990,4.364882199466228,1024000,0.2,70.56183624267578,380,500,1000.0,3e-05,0.8296130299568176,-0.029486122558591888,0.4271484375
