mean_eval_return,seed,logdir,learning_rate,clip_range,gae_lambda,gamma,n_steps,ent_coef,vf_coef
2738.8114,42,logs_grid/lr3e-05_clip0p2_gae0p98_gamma0p99_nsteps2048_ent0p0004_vf0p5_20251104_072446,3e-05,0.2,0.98,0.99,2048,0.0004,0.5
3081.7847,42,logs_grid/lr3e-05_clip0p2_gae0p98_gamma0p99_nsteps2048_ent0p0004_vf1p0_20251104_073039,3e-05,0.2,0.98,0.99,2048,0.0004,1.0
3238.0515,42,logs_grid/lr3e-05_clip0p2_gae0p98_gamma0p99_nsteps2048_ent0p0001_vf0p5_20251104_073646,3e-05,0.2,0.98,0.99,2048,0.0001,0.5
2385.5837,42,logs_grid/lr3e-05_clip0p2_gae0p98_gamma0p99_nsteps2048_ent0p0001_vf1p0_20251104_074256,3e-05,0.2,0.98,0.99,2048,0.0001,1.0
1734.4204,42,logs_grid/lr2p5e-05_clip0p1_gae0p95_gamma0p98_nsteps2048_ent0p0004_vf0p5_20251104_074905,2.5e-05,0.1,0.95,0.98,2048,0.0004,0.5
3629.7348,42,logs_grid/lr2p5e-05_clip0p1_gae0p95_gamma0p98_nsteps2048_ent0p0004_vf1p0_20251104_075515,2.5e-05,0.1,0.95,0.98,2048,0.0004,1.0
3123.0561,42,logs_grid/lr2p5e-05_clip0p1_gae0p95_gamma0p98_nsteps2048_ent0p0001_vf0p5_20251104_080130,2.5e-05,0.1,0.95,0.98,2048,0.0001,0.5
3753.3759,42,logs_grid/lr2p5e-05_clip0p1_gae0p95_gamma0p98_nsteps2048_ent0p0001_vf1p0_20251104_084206,2.5e-05,0.1,0.95,0.98,2048,0.0001,1.0
3376.0423,42,logs_grid/lr2p5e-05_clip0p1_gae0p95_gamma0p99_nsteps2048_ent0p0004_vf0p5_20251104_084823,2.5e-05,0.1,0.95,0.99,2048,0.0004,0.5
3505.5586,42,logs_grid/lr2p5e-05_clip0p1_gae0p95_gamma0p99_nsteps2048_ent0p0004_vf1p0_20251104_085449,2.5e-05,0.1,0.95,0.99,2048,0.0004,1.0
3478.7350,42,logs_grid/lr2p5e-05_clip0p1_gae0p95_gamma0p99_nsteps2048_ent0p0001_vf0p5_20251104_090109,2.5e-05,0.1,0.95,0.99,2048,0.0001,0.5
3146.0593,42,logs_grid/lr2p5e-05_clip0p1_gae0p95_gamma0p99_nsteps2048_ent0p0001_vf1p0_20251104_090729,2.5e-05,0.1,0.95,0.99,2048,0.0001,1.0
3796.4832,42,logs_grid/lr2p5e-05_clip0p1_gae0p98_gamma0p98_nsteps2048_ent0p0004_vf0p5_20251104_091351,2.5e-05,0.1,0.98,0.98,2048,0.0004,0.5
2980.6548,42,logs_grid/lr2p5e-05_clip0p1_gae0p98_gamma0p98_nsteps2048_ent0p0004_vf1p0_20251104_092013,2.5e-05,0.1,0.98,0.98,2048,0.0004,1.0
3422.9458,42,logs_grid/lr2p5e-05_clip0p1_gae0p98_gamma0p98_nsteps2048_ent0p0001_vf0p5_20251104_092632,2.5e-05,0.1,0.98,0.98,2048,0.0001,0.5
3129.9565,42,logs_grid/lr2p5e-05_clip0p1_gae0p98_gamma0p98_nsteps2048_ent0p0001_vf1p0_20251104_093256,2.5e-05,0.1,0.98,0.98,2048,0.0001,1.0
2570.7977,42,logs_grid/lr2p5e-05_clip0p1_gae0p98_gamma0p99_nsteps2048_ent0p0004_vf0p5_20251104_093916,2.5e-05,0.1,0.98,0.99,2048,0.0004,0.5
2549.7151,42,logs_grid/lr2p5e-05_clip0p1_gae0p98_gamma0p99_nsteps2048_ent0p0004_vf1p0_20251104_094538,2.5e-05,0.1,0.98,0.99,2048,0.0004,1.0
2624.2687,42,logs_grid/lr2p5e-05_clip0p1_gae0p98_gamma0p99_nsteps2048_ent0p0001_vf0p5_20251104_095200,2.5e-05,0.1,0.98,0.99,2048,0.0001,0.5
2565.0115,42,logs_grid/lr2p5e-05_clip0p1_gae0p98_gamma0p99_nsteps2048_ent0p0001_vf1p0_20251104_095821,2.5e-05,0.1,0.98,0.99,2048,0.0001,1.0
2236.5180,42,logs_grid/lr2p5e-05_clip0p2_gae0p95_gamma0p98_nsteps2048_ent0p0004_vf0p5_20251104_100443,2.5e-05,0.2,0.95,0.98,2048,0.0004,0.5
3584.7074,42,logs_grid/lr2p5e-05_clip0p2_gae0p95_gamma0p98_nsteps2048_ent0p0004_vf1p0_20251104_101106,2.5e-05,0.2,0.95,0.98,2048,0.0004,1.0
1624.8586,42,logs_grid/lr2p5e-05_clip0p2_gae0p95_gamma0p98_nsteps2048_ent0p0001_vf0p5_20251104_101727,2.5e-05,0.2,0.95,0.98,2048,0.0001,0.5
1159.2987,42,logs_grid/lr2p5e-05_clip0p2_gae0p95_gamma0p98_nsteps2048_ent0p0001_vf1p0_20251104_102348,2.5e-05,0.2,0.95,0.98,2048,0.0001,1.0
2093.6007,42,logs_grid/lr2p5e-05_clip0p2_gae0p95_gamma0p99_nsteps2048_ent0p0004_vf0p5_20251104_103002,2.5e-05,0.2,0.95,0.99,2048,0.0004,0.5
3694.4496,42,logs_grid/lr2p5e-05_clip0p2_gae0p95_gamma0p99_nsteps2048_ent0p0004_vf1p0_20251104_103617,2.5e-05,0.2,0.95,0.99,2048,0.0004,1.0
1563.6511,42,logs_grid/lr2p5e-05_clip0p2_gae0p95_gamma0p99_nsteps2048_ent0p0001_vf0p5_20251104_104225,2.5e-05,0.2,0.95,0.99,2048,0.0001,0.5
2475.3635,42,logs_grid/lr2p5e-05_clip0p2_gae0p95_gamma0p99_nsteps2048_ent0p0001_vf1p0_20251104_104831,2.5e-05,0.2,0.95,0.99,2048,0.0001,1.0
3266.0364,42,logs_grid/lr2p5e-05_clip0p2_gae0p98_gamma0p98_nsteps2048_ent0p0004_vf0p5_20251104_105457,2.5e-05,0.2,0.98,0.98,2048,0.0004,0.5
3385.8161,42,logs_grid/lr2p5e-05_clip0p2_gae0p98_gamma0p98_nsteps2048_ent0p0004_vf1p0_20251104_112923,2.5e-05,0.2,0.98,0.98,2048,0.0004,1.0
3479.6848,42,logs_grid/lr2p5e-05_clip0p2_gae0p98_gamma0p98_nsteps2048_ent0p0001_vf0p5_20251104_120419,2.5e-05,0.2,0.98,0.98,2048,0.0001,0.5
2975.2423,42,logs_grid/lr2p5e-05_clip0p2_gae0p98_gamma0p98_nsteps2048_ent0p0001_vf1p0_20251104_121037,2.5e-05,0.2,0.98,0.98,2048,0.0001,1.0
2892.9765,42,logs_grid/lr2p5e-05_clip0p2_gae0p98_gamma0p99_nsteps2048_ent0p0004_vf0p5_20251104_121653,2.5e-05,0.2,0.98,0.99,2048,0.0004,0.5
3424.2083,42,logs_grid/lr2p5e-05_clip0p2_gae0p98_gamma0p99_nsteps2048_ent0p0004_vf1p0_20251104_122316,2.5e-05,0.2,0.98,0.99,2048,0.0004,1.0
3280.2310,42,logs_grid/lr2p5e-05_clip0p2_gae0p98_gamma0p99_nsteps2048_ent0p0001_vf0p5_20251104_122941,2.5e-05,0.2,0.98,0.99,2048,0.0001,0.5
3174.7068,42,logs_grid/lr2p5e-05_clip0p2_gae0p98_gamma0p99_nsteps2048_ent0p0001_vf1p0_20251104_123602,2.5e-05,0.2,0.98,0.99,2048,0.0001,1.0
