rollout/ep_rew_mean,train/value_loss,train/approx_kl,train/std,time/fps,train/n_updates,train/entropy_loss,time/total_timesteps,train/clip_range,train/loss,time/time_elapsed,time/iterations,rollout/ep_len_mean,train/learning_rate,train/explained_variance,train/policy_gradient_loss,train/clip_fraction
-31.390345200000002,0.30751885804347695,0.007225222,0.1349858045578003,2856,90,3.500286301970482,20480,0.1,0.3153911828994751,7,10,1000.0,2.5e-05,0.08468014001846313,-0.022485220100497826,0.30322265625
-14.7780917,0.5395433311350644,0.009097012,0.1346939355134964,2776,190,3.513597747683525,40960,0.1,0.3121216297149658,14,20,1000.0,2.5e-05,0.1596907377243042,-0.026455564601928928,0.325048828125
24.132576426229505,7.458388681709766,0.009477119,0.13477224111557007,2743,290,3.5108446151018144,61440,0.1,6.6340789794921875,22,30,1000.0,2.5e-05,0.3850128650665283,-0.024144464716664517,0.313623046875
72.98303479012345,11.444831429421901,0.009268301,0.13474279642105103,2730,390,3.512456228584051,81920,0.1,12.266555786132812,29,40,1000.0,2.5e-05,0.8337463140487671,-0.022074595809681342,0.34599609375
104.70999926000002,8.026306608319283,0.012375519,0.13442261517047882,2720,490,3.5266809687018394,102400,0.1,9.484715461730957,37,50,1000.0,2.5e-05,0.9269346594810486,-0.019150552892824635,0.364990234375
177.56591558999997,9.252535254508256,0.016521554,0.13432370126247406,2710,590,3.53366579413414,122880,0.1,10.828448295593262,45,60,1000.0,2.5e-05,0.9305045008659363,-0.01564007905399194,0.4673828125
278.22970706,15.845566703379154,0.02361388,0.1340164989233017,2703,690,3.546508678793907,143360,0.1,12.583723068237305,53,70,1000.0,2.5e-05,0.8891816735267639,-0.012243233833578416,0.47548828125
361.1922073399999,22.456005373597144,0.016865857,0.13363002240657806,2705,790,3.5630324602127077,163840,0.1,26.632484436035156,60,80,1000.0,2.5e-05,0.9078512191772461,-0.013362222783325706,0.474560546875
467.75439388,27.48961855173111,0.015886907,0.13316529989242554,2700,890,3.58239254206419,184320,0.1,30.85934829711914,68,90,1000.0,2.5e-05,0.7159109115600586,-0.01621217433421407,0.493017578125
584.7202480000001,37.81062027812004,0.016382989,0.13263003528118134,2695,990,3.6083339363336564,204800,0.1,44.72700500488281,75,100,1000.0,2.5e-05,0.827756404876709,-0.01385049046803033,0.483740234375
702.74058139,35.88511953353882,0.015826767,0.13192890584468842,2694,1090,3.6397883877158166,225280,0.1,30.06345558166504,83,110,1000.0,2.5e-05,0.935366690158844,-0.013764366529358085,0.466455078125
766.75803475,32.56272377371788,0.019924928,0.1317957192659378,2695,1190,3.646704350411892,245760,0.1,30.28657341003418,91,120,1000.0,2.5e-05,0.8993945121765137,-0.013122395673417487,0.506494140625
848.0456505400001,41.51799361109734,0.020076966,0.13075236976146698,2698,1290,3.6914325192570687,266240,0.1,31.542530059814453,98,130,1000.0,2.5e-05,0.9019342064857483,-0.013224637939129025,0.519970703125
917.60916534,41.83856784701347,0.020166785,0.13038179278373718,2698,1390,3.708889456093311,286720,0.1,39.414852142333984,106,140,1000.0,2.5e-05,0.5802088975906372,-0.011572735411755275,0.535107421875
947.98161966,35.045588952302936,0.02802014,0.12995688617229462,2698,1490,3.731055198609829,307200,0.1,35.995880126953125,113,150,1000.0,2.5e-05,0.45256996154785156,-0.008167822423274629,0.561572265625
1014.42132479,51.52879227399826,0.018914051,0.12967722117900848,2697,1590,3.743559700250626,327680,0.1,92.96565246582031,121,160,1000.0,2.5e-05,0.9213104844093323,-0.012036602070293157,0.502783203125
1107.2629718399999,37.238515669107436,0.024748739,0.12922583520412445,2698,1690,3.7642316192388536,348160,0.1,37.96901321411133,128,170,1000.0,2.5e-05,0.9112735390663147,-0.008463266333274077,0.57060546875
1197.3164166300003,50.975679689645766,0.027108708,0.12871672213077545,2698,1790,3.7901114910840987,368640,0.1,57.879005432128906,136,180,1000.0,2.5e-05,0.9416172504425049,-0.011937144192052074,0.534130859375
1253.73724322,60.3527988255024,0.020500202,0.12816880643367767,2699,1890,3.816541950404644,389120,0.1,67.64750671386719,144,190,1000.0,2.5e-05,0.9203205704689026,-0.012960245927388314,0.508984375
1364.50949362,61.28451327681542,0.020818818,0.12770290672779083,2698,1990,3.8391843631863596,409600,0.1,62.39494323730469,151,200,1000.0,2.5e-05,0.9061402082443237,-0.007574950234265998,0.554443359375
1410.4170144099999,48.74138163924217,0.034555733,0.1274435818195343,2698,2090,3.8483913734555246,430080,0.1,39.77669143676758,159,210,1000.0,2.5e-05,0.7131360173225403,-0.004172239759645891,0.589013671875
1472.32049233,53.7730516910553,0.029368196,0.12726058065891266,2699,2190,3.857170522212982,450560,0.1,78.89197540283203,166,220,1000.0,2.5e-05,0.6646181344985962,-0.004144301640917547,0.598681640625
1523.82106853,62.66638885736465,0.024479926,0.12713231146335602,2700,2290,3.8656103029847144,471040,0.1,60.906089782714844,174,230,1000.0,2.5e-05,0.6886025071144104,-0.010022486331581603,0.578515625
1579.5560607500004,46.839963865280154,0.029802129,0.12690144777297974,2701,2390,3.876884138584137,491520,0.1,39.370147705078125,181,240,1000.0,2.5e-05,0.8557184934616089,-0.0010627039824612438,0.63447265625
1631.11047844,43.99006005525589,0.029741483,0.12673860788345337,2701,2490,3.8836943000555038,512000,0.1,56.00673294067383,189,250,1000.0,2.5e-05,0.7422975301742554,-0.002862430235836655,0.6123046875
1696.4278831000004,75.01233382225037,0.021817062,0.12650011479854584,2700,2590,3.8935778826475143,532480,0.1,84.33601379394531,197,260,1000.0,2.5e-05,0.8595987558364868,-0.011415115572162904,0.54814453125
